Record Id,Punto de venta,Cerrado,Dirección,lat,lng,Área,Sector,ZONA,Nº,Código postal,Actualizada,Clasificación,Nº teléfono
707987000007093922,UDON Meridiano,FALSE,Centro Comercial Meridiano,,,TF,NORTE TF,SANTA CRUZ,4434,38005,TRUE,CENTRO COMERCIAL,922 22 66 79
707987000007093917,UDON Alisios,FALSE,Centro Comercial Alisios,,,GC,NORTE GC,7 PALMAS,4433,35018,TRUE,CENTRO COMERCIAL,928 39 53 89
707987000004036109,Primor Muelle,FALSE,"Muelle de Santa Catalina, s/n - C.C. El Muelle, local B16+B17",,,GC,NORTE GC,PUERTO,4418,35007,TRUE,PERFUMERIA,
707987000004036097,Primor Mallorca,FALSE,"C/ San Miguel, 4",,,MALL,MALLORCA,MALLORCA,4406,7002,TRUE,,
707987000004036047,U.P. LA PATERNA,FALSE,"C/ Manuel de Falla, S/N",,,GC,NORTE GC,7 PALMAS,4356,35019,TRUE,,
707987000002528089,SAGULPA,FALSE,"Avda. José Ramírez Bethencourt, 33",,,,,,4379,35004,TRUE,,
707987000000599956,EDEN-XARIG,FALSE,...,,,,,,PV-000041,,TRUE,,
707987000000599935,Electrostocks,FALSE,"C/Juan Dguez Pérez, 32",,,GC,NORTE GC,PUERTO,4346,35008,FALSE,,
707987000000599896,Taco Bell Las Arenas,FALSE,C.C. Las Arenas Ctra. Del Rincón s/n.,,,GC,NORTE GC,ARENAS,4307,35010,FALSE,,
707987000000599526,Comercial El Castillo,FALSE,Avda del Castillo,,,FT,CENTRO FT,EL CASTILLO,4190,35610,FALSE,,
707987000000599503,Hotel Gran Laguna,FALSE,C/ Nava y Grimón nº18,,,TF,NORTE TF,SANTA CRUZ,4165,38201,FALSE,,
707987000000599495,La Oca (La Laguna),FALSE,C/ Herradores 55,,,TF,NORTE TF,SANTA CRUZ,4156,38201,FALSE,,
707987000000599492,Concesionario Domingo Alonso Sebadal,FALSE,"C/ Dr. Juan Dguez Pérez, 12 Pol. Ind. El Sebadal",,,GC,NORTE GC,PUERTO,4152,35008,TRUE,AUTOMOCIÓN,928 00 53 00
707987000000599484,Centro de estética y formación Jesica Cubides,FALSE,"C/ Ruiz de Alda, 12",,,GC,NORTE GC,MESA Y LÓPEZ,4140,35007,FALSE,VARIOS,
707987000000599478,Vivienda Luz Cappa,FALSE,"C/ Tomás alba Edison, 27 3º dcha",,,GC,NORTE GC,MESA Y LÓPEZ,4134,,FALSE,,667387605
707987000000599476,Centrilen óptica,FALSE,"c/ Tomás Morales, 120",,,GC,NORTE GC,7 PALMAS,4131,35004,FALSE,"OPTICA, AUDICION",
707987000000599450,Antonio Puig (oficinas Gran Canaria),FALSE,"C/ Antonio Mariano Enrique, nº3 Planta 5 Oficina 9 Edf. Ibsa",,,GC,NORTE GC,7 PALMAS,4104,35011,FALSE,,928 91 83 38
707987000000599444,Viviendas Vacacionales,FALSE,"C/Torre Quevedo,nº 29-30",,,GC,NORTE GC,ZONA PUERTO,4098,35007,FALSE,,
707987000000599438,Clínica Dental Grau,FALSE,C/ Mas de Gaminde - edificio 45 - entresuelo 9,,,GC,NORTE GC,MESA Y LÓPEZ,4085,35006,FALSE,,
707987000000599431,Colegio Arenas,FALSE,"Calle Tarahales, 76",,,GC,NORTE GC,7 PALMAS,4078,35013,FALSE,,928 41 59 96
707987000000599427,Escuela de Baile UP,FALSE,"Avda. Federico García Lorca, local nº. 2",,,GC,NORTE GC,MESA Y LÓPEZ,4074,35011,FALSE,CENTRO CULTURAL,
707987000000599425,Honda,FALSE,CC La Loza - Miller Bajo,,,GC,NORTE GC,7 PALMAS,4072,35014,FALSE,,
707987000000599424,Hyundai,FALSE,CC La Loza - Miller Bajo,,,GC,NORTE GC,MILLER BAJO,4071,35007,FALSE,,
