"ID de registro","Nombre de Línea de OT","Punto de venta.id","Punto de venta"
zcrm_707987000001926300,"Corte Ingles 7 Palmas, OT, 30208, 7 PALMAS, Cl, Av Pintor Felo Monzón, 46, 35019 Las Palmas de Gran Canaria, Las Palmas, 6f30040378",zcrm_707987000000584799,"Corte Ingles 7 Palmas"
zcrm_707987000001926301,"Corte Ingles 7 Palmas, OT, 30208, 7 PALMAS, Cl, Av Pintor Felo Monzón, 46, 35019 Las Palmas de Gran Canaria, Las Palmas, be4f94dee1",zcrm_707987000000584799,"Corte Ingles 7 Palmas"
zcrm_707987000001926302,"Grupo Lis IX, OT, 30208, FAÑABE, C.C. Plaza Fañabé, local 245-246, 6e8dae6b74",zcrm_707987000000599505,"Grupo Lis IX"
zcrm_707987000001926303,"Grupo Lis IX, OT, 30208, FAÑABE, C.C. Plaza Fañabé, local 245-246, 526054292e",zcrm_707987000000599505,"Grupo Lis IX"
zcrm_707987000001926304,"La Rosa (Castillo), OT, 30209, SANTA CRUZ, C. del Castillo, 7, 1ª planta, 38002 Santa Cruz de Tenerife., 812caa5184",zcrm_707987000000597370,"La Rosa (Castillo)"
zcrm_707987000001926305,"La Rosa (Castillo), OT, 30209, SANTA CRUZ, C. del Castillo, 7, 1ª planta, 38002 Santa Cruz de Tenerife., d4d6c10e83",zcrm_707987000000597370,"La Rosa (Castillo)"
zcrm_707987000001926306,"Hospital Insular, OT, 30210, SAN CRISTÓBAL, Avenida Marítima del Sur, s/n., 4fc8cc1ee0",zcrm_707987000000599012,"Hospital Insular"
zcrm_707987000001926307,"Dalia 5, OT, 30211, ARRECIFE, C. León y Castillo, 24, 35500 Arrecife, Las Palmas, 735f167c96",zcrm_707987000000596310,"Dalia 5"
zcrm_707987000001926308,"Europa Cita, OT, 30212, CC CITA, CC Cita, Av. de Francia, 35100 Maspalomas, Las Palmas. Local 60-70, d3defca6cb",zcrm_707987000000584832,"Europa Cita"
zcrm_707987000001926309,"La Rosa Arcade, OT, 30212, SANTIAGO, Arcade-CC Europa, local 7-BC, 367c6cddd0",zcrm_707987000000584875,"La Rosa Arcade"
